Name,Transliteral Name,Artist,Composition,Arrangement,Genre,BPM,Length,Beginner Rating,Beginner Note Count,Beginner Charge Notes,SPN Rating,SPN Note Count,SPN Charge Notes,SPN Backspin Scratches,SPN Hell Charge Notes,SPN Hell Backspin Scratches,SPH Rating,SPH Note Count,SPH Charge Notes,SPH Backspin Scratches,SPH Hell Charge Notes,SPH Hell Backspin Scratches,SPA Rating,SPA Note Count,SPA Charge Notes,SPA Backspin Scratches,SPA Hell Charge Notes,SPA Hell Backspin Scratches,SPL Rating,SPL Note Count,SPL Charge Notes,SPL Backspin Scratches,SPL Hell Charge Notes,SPL Hell Backspin Scratches,DPN Rating,DPN Note Count,DPN Charge Notes,DPN Backspin Scratches,DPN Hell Charge Notes,DPN Hell Backspin Scratches,DPH Rating,DPH Note Count,DPH Charge Notes,DPH Backspin Scratches,DPH Hell Charge Notes,DPH Hell Backspin Scratches,DPA Rating,DPA Note Count,DPA Charge Notes,DPA Backspin Scratches,DPA Hell Charge Notes,DPA Hell Backspin Scratches,DPL Rating,DPL Note Count,DPL Charge Notes,DPL Backspin Scratches,DPL Hell Charge Notes,DPL Hell Backspin Scratches,First Music Game Appearance,Other Music Game Appearances,Video Jockey,RemyWiki Link
ECHIDNA,ECHIDNA,HuΣeR,Konami Amusement (Aritomo Hamada),Konami Amusement (Aritomo Hamada),HYBRID BUCHIAGE TRANCE,146,1:58,,,,6,665,,,22,,10,1111,,,68,,12,1775,,,90,,,,,,,,7,642,,,22,,10,1084,,,62,,12,1822,,,72,,,,,,,,beatmania IIDX 24 SINOBUZ,SOUND VOLTEX IV HEAVENLY HAVEN,板垣聖一(IMAGICA) (overlays by GYO),https://remywiki.com/ECHIDNA
elemental bender feat. Kanae Asaba,Elemental bender feat. Kanae Asaba,MK,"MK, Kanae Asaba",MK,EDM,135,2:00,,,,3,326,,,,,6,606,,,,,8,826,,,,,,,,,,,3,319,,,,,6,609,,,,,8,846,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,shiro,https://remywiki.com/Elemental_bender_feat._Kanae_Asaba
FUZIN RIZIN,FUZIN RIZIN,SOUND HOLIC feat. Nana Takahashi & 709sec.,709sec.,709sec.,HYPER DIGIMETAL,190,2:03,,,,5,609,,,,,9,1008,,,,,12,1929,,,,,,,,,,,6,650,,,,,9,944,,,,,12,1931,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,GOLI (unique video and overlays),https://remywiki.com/FUZIN_RIZIN
Go Ahead!!,Go Ahead!!,Ryu☆ Vs. Sota,Ryu☆ Vs. Konami Amusement (Sota),Ryu☆ Vs. Konami Amusement (Sota),TRANCE CORE,200,2:03,,,,7,521,,,,,10,810,28,,,,12,1413,28,,,,,,,,,,7,498,,,,,10,792,28,,,,12,1403,28,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,MatsuTK (overlays by NAGI),https://remywiki.com/Go_Ahead!!
GuNGNiR,GuNGNiR,Gram,DJ Genki,DJ Genki,REQUIEM PSY,222,2:09,,,,7,684,2,,,,11,1397,3,,,,12,2081,4,1,,,,,,,,,7,681,2,,,,10,1420,4,,,,12,2175,7,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,かーる,https://remywiki.com/GuNGNiR
HADES,HADES,Massive New Krew,Massive New Krew,Massive New Krew,HARDSTYLE,155,2:01,2,197,,5,500,,,,,9,950,,,,,12,1601,,,,,,,,,,,5,475,,,,,9,964,,,,,12,1564,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Kaito,https://remywiki.com/HADES
HAPPY★RUSH,HAPPY RUSH,P*Light,P*Light,P*Light,HAPPY,185,2:02,,,,4,400,,5,,,9,982,,,,,11,1490,,,,,,,,,,,5,463,2,5,,,9,978,3,5,,,11,1468,,5,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Steins,https://remywiki.com/HAPPY_RUSH
Honey Trap,Honey Trap,Expander,Konami Amusement (Sota Fujimori),Konami Amusement (Sota Fujimori),HYPER TRAP,160,2:03,,,,5,422,,,,,8,822,,,,,11,1284,,,,,,,,,,,5,435,,,,,8,822,,,,,11,1286,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,KINRUI,https://remywiki.com/Honey_Trap
INVISIBLE STRIX,INVISIBLE STRIX,L.E.D.,Konami Amusement (L.E.D.),Konami Amusement (L.E.D.),NEUROFUNK,184,2:07,,,,6,601,,,,,10,1074,,,,,11,1331,,,,,,,,,,,7,600,,,,,10,1081,,,,,11,1383,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,"pam, Ta-k",https://remywiki.com/INVISIBLE_STRIX
Lost wing at.0,Lost wing at.0,猫叉Master+,Konami Amusement (Naoyuki Sato),Konami Amusement (Naoyuki Sato),DRUM'N'BASS,185,2:04,,,,5,475,7,,,,8,752,8,,,,11,1261,17,,,,,,,,,,4,418,7,,,,8,709,18,,,,11,1297,26,,,,,,,,,,BeatStream アニムトライヴ,"beatmania IIDX 24 SINOBUZ, jubeat plus / jubeat plus (Android) Qubell pack 6, jubeat Qubell, SOUND VOLTEX IV HEAVENLY HAVEN",アキ,https://remywiki.com/Lost_wing_at.0
Macuilxochitl,Macuilxochitl,TOMOSUKE,TOMOSUKE,TOMOSUKE,PIANO CONTEMPORARY (ピアノコンテンポラリー),148,1:50,3,267,,7,752,,,,,10,1147,,,,,11,1677,,,,,,,,,,,7,768,,,,,10,1042,,,,,11,1546,,,,,,,,,,,jubeat ripples,"beatmania IIDX 24 SINOBUZ, jubeat plus music pack 20, jubeat plus (Android) KONAMI music pack 14, jukebeat KONAMI music pack 05, pop'n music 19 TUNE STREET, ポップンリズミン jubeatパック3",F-FLY,https://remywiki.com/Macuilxochitl
Magical,Magical,Snail's House,Snail's House,Snail's House,KAWAII FUTURE BASS,174,2:07,,,,4,410,,,,,6,601,,,,,10,1011,,,,,,,,,,,4,410,,,,,6,635,,,,,10,1028,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,NAGI,https://remywiki.com/Magical
Mare Nectaris,Mare Nectaris,神楽,Kagura,Kagura,EXPERIMENTAL,256,2:06,,,,7,746,,1,,,11,1116,,1,,,12,2094,,1,,,,,,,,,7,746,,1,,,10,1081,,1,,,12,1862,,1,,,,,,,,,beatmania IIDX 24 SINOBUZ,,GOLI,https://remywiki.com/Mare_Nectaris
Modular Technology,Modular Technology,Sota Fujimori,Sota Fujimori,Sota Fujimori,TECHNO,170,1:50,,,,6,638,,,,,10,1006,,,,,11,1372,,,,,,,,,,,6,631,,,,,10,973,,,,,11,1365,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Lynx,https://remywiki.com/Modular_Technology
Music is The Answer,Music is The Answer,C-Show,C-Show,C-Show,TURBOFUNK,128,1:55,,,,4,403,,,,,8,726,,,,,10,977,,,,,,,,,,,4,402,,,,,8,766,,,,,10,1062,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,cap,https://remywiki.com/Music_is_The_Answer
nostos,Nostos,Setaria Virtuoso,Konami Amusement (Jun Wakita),Konami Amusement (Jun Wakita),NOSTALGIA,86-144,2:16,,,,5,471,,,,,8,722,,,,,11,1359,,,,,,,,,,,5,486,,,,,9,814,,,,,11,1324,,,,,,,,,,,ノスタルジア,"beatmania IIDX 24 SINOBUZ, jubeat Qubell, pop'n music うさぎと猫と少年の夢, REFLEC BEAT 悠久のリフレシア",?,https://remywiki.com/Nostos
OOO,OOO,Ryu☆ feat.moimoi,Ryu☆,Ryu☆,BUBBLEGUM DANCE,140,1:56,,,,3,349,,,,,7,737,,,,,10,1034,,,,,,,,,,,3,373,,,,,7,714,,,,,10,1044,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by shio忍),https://remywiki.com/OOO
OTENAMI Hurricane,OTENAMI Hurricane,t+pazolite,t+pazolite,t+pazolite,POP BREAKCORE,215,2:02,,,,6,526,,,,,10,1135,,,,,12,1643,6,,,,,,,,,,6,704,,,,,10,1133,,,,,12,1743,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,よしまさ,https://remywiki.com/OTENAMI_Hurricane
PAPAYAPA BASS,PAPAYAPA BASS,かめりあ feat. ななひら,Camellia,Camellia,MONDO-GROOVE BASSHOUSE,147,2:02,,,,5,397,,,,,8,788,,,,,11,1292,,,,,,,,,,,5,485,,,,,8,802,,,,,11,1362,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by KAERU),https://remywiki.com/PAPAYAPA_BASS
Piano Samurai,Piano Samurai,maras k(marasy+kors k),kors k,maras k,BEAT PIANO MUSIC,170,2:04,,,,5,546,,,,,9,909,,,,,10,1265,,,,,,,,,,,5,501,,,,,9,903,,,,,10,1251,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Parmy (illustrations by ひやけ),https://remywiki.com/Piano_Samurai
Quakes,Quakes,dj Hellix,Konami Amusement (dj Hellix),Konami Amusement (dj Hellix),HARD BREAK BEATS,190,1:56,,,,6,577,3,,,,10,1080,3,,,,12,1654,11,,,,,,,,,,7,559,3,,,,10,1066,3,,,,12,1613,11,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by ちっひ),https://remywiki.com/Quakes
RAIN,RAIN,dj TAKA,dj TAKA,dj TAKA,TRANCE,159,1:51,,,,6,588,24,1,,,9,928,25,1,,,12,1657,25,1,,,,,,,,,6,603,24,1,,,10,1038,25,1,,,12,1755,25,1,,,,,,,,,REFLEC BEAT VOLZZA,beatmania IIDX 24 SINOBUZ,F-FLY,https://remywiki.com/RAIN
Rave Cannon,Rave Cannon,kors k,kors k,kors k,SPEED RAVE,160,2:04,,,,5,538,5,2,,,9,946,2,1,,,12,1700,6,1,,,,,,,,,5,546,11,2,,,9,975,11,2,,,12,1597,6,1,,,,,,,,,beatmania IIDX 24 SINOBUZ,,yama_ko (overlays by GOLI),https://remywiki.com/Rave_Cannon
Remedy feat. Kanae Asaba,Remedy feat. Kanae Asaba,Y&Co.,Y&Co.,Y&Co.,哀愁EUROBEAT (AISHUU EUROBEAT),165,2:02,,,,5,468,,,,,8,835,,,,,10,1116,,,,,,,,,,,5,457,,,,,8,809,,,,,10,1163,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,VJ GYO,https://remywiki.com/Remedy_feat._Kanae_Asaba
RISING FIRE HAWK,RISING FIRE HAWK,L.E.D.-G,Konami Amusement (L.E.D.-G),Konami Amusement (L.E.D.-G),HARDSTYLE,157,1:55,,,,5,440,,,,,8,768,,,,,11,1372,,,,,,,,,,,5,439,,,,,8,854,,,,,11,1359,,,,,,,,,,,DanceDanceRevolution A,"beatmania IIDX 24 SINOBUZ, DANCERUSH STARDOM",F-FLY,https://remywiki.com/RISING_FIRE_HAWK
ROTTERDAM SHOGUN,ROTTERDAM SHOGUN,ABDI from ジャカルタファンクブラザーズ,ABDI,ABDI,RDM,199,1:56,3,274,,6,574,,1,,,9,930,24,7,,,11,1299,40,7,,,,,,,,,6,562,,1,,,9,919,24,7,,,11,1411,42,6,,,,,,,,,beatmania IIDX 24 SINOBUZ,,エビマヨ推しのくノ一忍者なす,https://remywiki.com/ROTTERDAM_SHOGUN
SAMURAI-Scramble,SAMURAI-Scramble,DJ Mass MAD Izm*,DJ Mass MAD Izm*,"DJ Mass MAD Izm*, Arisa Nakayama",TECH BREAKBEATS,150,2:09,,,,5,511,,,,,9,865,,,,,11,1232,,,,,,,,,,,6,559,,,,,9,957,,,,,11,1299,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by NAGI),https://remywiki.com/SAMURAI-Scramble
Sarutobi Champion is 拙者,Sarutobi Champion is sessha,Project B-,Project B-,Project B-,PIECED MAKIBISHI,130-195,1:48,,,,6,503,,,,,9,809,,,,,11,1153,,,,,,,,,,,6,525,,,,,9,817,,,,,11,1425,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Hiromitsu Kawasaki,https://remywiki.com/Sarutobi_Champion_is_sessha
SAY BAY,SAY BAY,P*Light,P*Light,P*Light,SHINOBI RAVE,165,1:57,,,,5,429,11,5,,,8,771,7,5,,,12,1455,12,5,,,,,,,,,5,480,12,5,,,9,796,7,5,,,11,1420,12,5,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Taiyo Yamamoto,https://remywiki.com/SAY_BAY
SCREAM THE LIFE FEAT.KYONO,SCREAM THE LIFE FEAT.KYONO,DJ BAKU,DJ BAKU,DJ BAKU,ROCK,137,2:02,,,,4,445,,,,,8,822,,,,,10,1192,,,,,,,,,,,5,425,,,,,8,810,,,,,10,1153,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,None,https://remywiki.com/SCREAM_THE_LIFE_FEAT.KYONO
Seaside Labyrinth,Seaside Labyrinth,Dirty Androids,Dirty Androids,Dirty Androids,80's SYNTH FUNK,136,2:02,,,,4,332,,,,,7,667,,,,,9,953,,,,,,,,,,,4,330,,,,,6,620,,,,,9,972,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,いそにん,https://remywiki.com/Seaside_Labyrinth
Seize the Day,Seize the Day,DJ'TEKINA//SOMETHING feat.yuyoyuppe,DJ'TEKINA//SOMETHING,DJ'TEKINA//SOMETHING,FUTURE BASS,140,1:52,,,,5,389,4,1,,,7,696,7,1,,,10,1100,7,1,,,,,,,,,5,393,7,1,,,9,940,7,1,,,11,1225,7,1,,,,,,,,,beatmania IIDX 24 SINOBUZ,,NAGI,https://remywiki.com/Seize_the_Day
Selfish Sweet,Selfish Sweet,OSTER project feat. かなたん,OSTER project,OSTER project,R&B,135,1:55,,,,3,327,,,,,5,493,,,,,9,877,,,,,,,,,,,3,323,,,,,6,496,,,,,9,905,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,shiro,https://remywiki.com/Selfish_Sweet
SEQUENCE CAT,SEQUENCE CAT,SLEDLAKE (SLAKE & L.E.D.),"SLAKE, L.E.D.","SLAKE, L.E.D.",TECHNO,145,2:09,,,,5,551,,,,,10,1128,,,,,11,1446,,,,,,,,,,,6,640,,,,,10,1333,,,,,12,1985,,,,,,,,,,,beatmania IIDX 14 GOLD CS,beatmania IIDX 24 SINOBUZ,Ryousuke Takeuchi (D.B.D) + Naoya Miyadai (D.B.D),https://remywiki.com/SEQUENCE_CAT
Shoot'Em All,Shoot'Em All,Manabu Namiki,Manabu Namiki,Manabu Namiki,DETROIT TECHNO,152,2:17,,,,3,404,,,,,7,748,,,,,11,1264,,,,,,,,,,,3,318,,,,,8,855,,,,,12,1416,,,,,,,,,,,beatmania IIDX 13 DistorteD CS,beatmania IIDX 24 SINOBUZ,10taro and Oki Yusuke (IMAGICA Imageworks),https://remywiki.com/Shoot%27Em_All
shuriken,Shuriken,ヒゲドライバー,Hige Driver,Hige Driver,CHIPTUNE,160,1:58,,,,4,396,1,,,,6,573,17,,,,10,1298,38,,,,,,,,,,4,387,10,,,,6,660,13,,,,11,1321,31,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,"Hiromitsu Kawasaki (overlays by shio忍,NAGI忍)",https://remywiki.com/Shuriken
SINOBUZ Fantasy,SINOBUZ Fantasy,Noria,TAKA,TAKA,CANDY ROCK,190,2:04,,,,6,522,,,,,9,867,,,,,10,1228,,,,,,,,,,,6,523,,,,,8,904,,,,,10,1206,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,yama_ko,https://remywiki.com/SINOBUZ_Fantasy
Sky High,Sky High,Cuvelia,Cuvelia,Cuvelia,ANTHEM,153,2:05,3,222,,6,603,,,,,10,1205,,,,,12,1943,,,,,,,,,,,6,589,,,,,10,1192,,,,,12,1918,,,,,,,,,,,BeatStream アニムトライヴ,"beatmania IIDX 24 SINOBUZ, jubeat plus / jubeat plus (Android) Qubell pack 16, jubeat Qubell, pop'n music うさぎと猫と少年の夢, SOUND VOLTEX IV HEAVENLY HAVEN",GOLI,https://remywiki.com/Sky_High
Snakey Kung-fu,Snakey Kung-fu,金獅子 vs 麒麟 feat. 獏,Konami Amusement (Kinjishi vs Kirin),Konami Amusement (Kinjishi vs Kirin),ASIAN CONTEMPORARY,156,2:09,,,,6,563,,,4,,10,1110,,,32,,12,1751,,,98,,,,,,,,6,539,,,4,,10,1122,,,84,,12,1799,,,97,,,,,,,,beatmania IIDX 24 SINOBUZ,,忍々撮影隊,https://remywiki.com/Snakey_Kung-fu
Steel Edge,Steel Edge,Maozon,Maozon,Maozon,DRUM&BASS,177,2:03,,,,5,466,,,23,,8,759,,,20,,12,1604,,,49,4,,,,,,,5,487,,,27,,9,938,,,28,,11,1392,,,46,,,,,,,,beatmania IIDX 24 SINOBUZ,,Hiromitsu Kawasaki (overlays by HES),https://remywiki.com/Steel_Edge
Summer,Summer,banvox,banvox,banvox,DANCE MUSIC,150,2:02,,,,3,322,,,,,7,715,,,,,10,1126,,,,,,,,,,,3,332,,,,,7,714,,,,,10,1104,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,None,https://remywiki.com/Summer
Summerlights(IIDX Edition),Summerlights(IIDX Edition),DJ Noriken,DJ Noriken,DJ Noriken,HARDCORE RAVE,175,2:02,,,,6,581,49,6,,,9,949,43,6,,,12,1580,37,5,,,,,,,,,6,583,47,6,,,9,960,47,7,,,12,1654,44,6,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY,https://remywiki.com/Summerlights(IIDX_Edition)
Super Rush,Super Rush,kors k,kors k,kors k,HARDTEK,190,2:07,,,,6,523,,,,,9,953,,,,,12,1791,29,,,,,,,,,,6,574,,,,,9,1007,,,,,12,1719,29,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,alo,https://remywiki.com/Super_Rush
Surf on the Light,Surf on the Light,Tomoyuki Uchida,Tomoyuki Uchida,Tomoyuki Uchida,ELECTRO FUSION,60-160,2:03,,,,6,399,2,,,,9,760,7,,,,12,1154,7,,,,,,,,,,6,412,2,,,,9,880,2,,,,12,1198,4,,,,,,,,,,ノスタルジア,"beatmania IIDX 24 SINOBUZ, jubeat festo",Seventhgraphics,https://remywiki.com/Surf_on_the_Light
Sweet Clapper,Sweet Clapper,livetune+,kz,kz,J-POP,162,1:51,,,,3,285,,,,,7,623,,,,,10,959,,,,,,,,,,,3,388,,,,,7,637,,,,,10,971,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,None,https://remywiki.com/Sweet_Clapper
The Commanders,The Commanders,USAO,USAO,USAO,HARDSTYLE,150,2:06,,,,5,486,,,,,8,764,,,,,10,1227,,,,,,,,,,,5,485,,,,,8,803,,,,,11,1282,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,板垣聖一,https://remywiki.com/The_Commanders
(This Is Not) The Angels,(This Is Not) The Angels,Hommarju,Hommarju,Hommarju,BIG BEAT/BREAKBEATS,33-130,1:56,,,,4,309,,,,,8,739,,,,,11,1364,,,,,,,,,,,5,372,,,,,8,776,,,,,11,1304,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Minako Endo,https://remywiki.com/(This_Is_Not)_The_Angels
TOGAKUSHI,TOGAKUSHI,SETUP,SETUP,SETUP,HARD TRANCE,152,1:58,,,,5,526,,,36,,10,987,,,101,,12,1343,,,112,,,,,,,,5,493,,,36,,10,920,,,109,,12,1333,,,123,,,,,,,,beatmania IIDX 24 SINOBUZ,,Seventhgraphics,https://remywiki.com/TOGAKUSHI
Umbral,Umbral,Maozon,Maozon,Maozon,UPLIFTING TRANCE,138,2:00,,,,3,311,,,,,7,720,,,,,10,966,,,,,,,,,,,3,314,,,,,7,675,,,,,10,1032,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,lied,https://remywiki.com/Umbral
Venom,Venom,kors k vs L.E.D.-G,kors k vs Konami Amusement (L.E.D.-G),kors k vs Konami Amusement (L.E.D.-G),JUMP UP/HARDCORE,190,2:06,,,,6,656,,,,,10,1110,,,,,12,1624,,,,,,,,,,,7,641,,,,,10,1106,,,,,11,1451,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,板垣聖一,https://remywiki.com/Venom
Vermilion,Vermilion,Remo-con,Tetsuya Tamura,Tetsuya Tamura,HARD HOUSE,143,1:35,,,,5,460,,,,,8,704,,,,,10,1043,,,,,,,,,,,5,459,,,,,8,678,,,,,10,1055,,,,,,,,,,,jubeat saucer,"beatmania IIDX 24 SINOBUZ, jubeat plus / jubeat plus (Android) saucer pack 02, jukebeat KONAMI music pack 26, REFLEC BEAT colette -Spring-",F-FLY,https://remywiki.com/Vermilion
Warrior,Warrior,DJ CHUCKY feat. Jonjo,DJ CHUCKY,DJ CHUCKY,MAINSTREAM HARDCORE,175,2:04,,,,5,517,,,,,8,914,,,,,10,1257,7,,,,,,,,,,5,512,,,,,9,880,,,,,10,1251,7,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,板垣聖一(IMAGICA) (overlays by square_head),https://remywiki.com/Warrior
XINOBIKILL,XINOBIKILL,SOUND HOLIC feat. Nana Takahashi,GUCCI,atabo,CYBER JAZZSTEP,164,2:04,,,,6,506,8,,,,9,910,6,,,,11,1475,13,,,,,,,,,,5,558,8,,,,9,1074,6,,,,11,1566,13,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,板垣聖一,https://remywiki.com/XINOBIKILL
yamabiko (SINOBUZ Edition),Yamabiko (SINOBUZ Edition),かめりあ,Camellia,Camellia,"夏の夕暮れと、DUBSTEP。 (NATSU NO YUUGURE TO, DUBSTEP.)",154,2:04,,,,5,499,,2,,,8,822,,2,,,11,1345,,1,,,,,,,,,5,480,,3,,,8,836,,2,,,11,1299,,1,,,,,,,,,beatmania IIDX 24 SINOBUZ,,lied,https://remywiki.com/Yamabiko_(SINOBUZ_Edition)
Yellow Sketch(RX-Ver.S.P.L.),Yellow Sketch(RX-Ver.S.P.L.),高田雅史,Masafumi Takada,Masafumi Takada,ALTERNATIVE ELECTRO,176,2:02,,,,4,389,,,,,9,943,33,,,,11,1479,5,,,,,,,,,,4,387,,,,,9,1010,32,,,,11,1545,7,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by かーる),https://remywiki.com/Yellow_Sketch(RX-Ver.S.P.L.)
刃図羅,BUZRA,猫叉Master vs HuΣeR,Konami Amusement (Naoyuki Sato and Aritomo Hamada),Konami Amusement (Naoyuki Sato and Aritomo Hamada),LAST ARTS,165,2:09,,,,6,626,,,,,10,1082,,,,,12,1746,,,,,,,,,,,6,590,,,,,10,1089,,,,,12,1790,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,NAGI,https://remywiki.com/BUZRA
ちらちら・はらはら,Chirachira harahara,NU-KO,Seiya Murai,Seiya Murai,ACEDIA,180,2:02,,,,2,207,,,,,5,475,,,,,7,715,,,,,,,,,,,2,202,,,,,5,483,,,,,7,742,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,?,https://remywiki.com/Chirachira_harahara
ディッシュウォッシャー◎彡おいわちゃん,Dish washer Oiwa-chan,ARM×狐夢想 feat. 山本椛,ARM (IOSYS),ARM (IOSYS),ネオスカ電波 (NEO SKA DENPA),210,1:53,,,,3,366,,,,,7,736,,,,,11,1280,,,,,,,,,,,4,386,,,,,7,761,,,,,11,1292,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,yama_ko (overlays by GOLI),https://remywiki.com/Dish_washer_Oiwa-chan
童話回廊,Douwa kairou,DJ TOTTO,DJ TOTTO,DJ TOTTO,空想ファンタジーシリーズ (KUUSOU FANTASY SERIES),262,1:52,,,,5,484,,,,,9,905,,,,,12,1592,,,,,,,,,,,5,483,,,,,9,912,,,,,12,1478,,,,,,,,,,,GITADORA OverDrive,"beatmania IIDX 24 SINOBUZ, REFLEC BEAT groovin'!! Upper",Ko-Ku,https://remywiki.com/Douwa_kairou
焔極OVERKILL,Engoku OVERKILL,RoughSketch Vs. L.E.D.-G,RoughSketch Vs. Konami Amusement (L.E.D.-G),RoughSketch Vs. Konami Amusement (L.E.D.-G),HARDCORE,192,2:01,,,,6,598,,,,,10,1118,,,,,12,1901,,,,,,,,,,,7,672,,,,,10,1252,,,,,12,1984,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,F-FLY (overlays by NAGI),https://remywiki.com/Engoku_OVERKILL
冬椿 ft. Kanae Asaba,Fuyutsubaki ft. Kanae Asaba,Xceon,Xceon,Xceon,HYPER ENKA POP,155,2:01,1,131,,5,482,,,,,7,633,,,,,10,1146,,,,,11,1535,,,,,5,474,,,,,7,621,,,,,10,1114,,,,,11,1509,,,,,beatmania IIDX 24 SINOBUZ,,Kaito,https://remywiki.com/Fuyutsubaki_ft._Kanae_Asaba
焱影,Hikage,RoughSkreamZ feat.楽天斎,RoughSketch,RoughSketch,HIP HOP,136,2:00,,,,5,366,,,,,9,723,,,,,12,1437,,,,,,,,,,,6,440,,,,,9,780,,,,,12,1431,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,壱,https://remywiki.com/Hikage
イザナミノナゲキ,Izanami no nageki,猫叉Master,Konami Amusement (Naoyuki Sato),Konami Amusement (Naoyuki Sato),WORLD/ELECTRONICA,195,1:59,,,,6,605,9,,,,9,1007,11,,,,12,1661,16,,,,,,,,,,6,637,11,,,,9,962,16,,,,12,1769,16,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,かーる,https://remywiki.com/Izanami_no_nageki
次葉 -turn the page-,Jiyou -turn the page-,小寺可南子,96,96,POP ROCK,180,1:47,,,,4,427,,,,,8,716,2,,,,10,1003,9,,,,,,,,,,4,427,,,,,8,693,2,,,,10,1073,10,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,Hiromitsu Kawasaki (overlays by GOLI),https://remywiki.com/Jiyou_-turn_the_page-
禍根,Kakon,U1 overground,Konami Amusement (U1-ASAMi),Konami Amusement (U1-ASAMi),ORBITALIC FUTURE BASS,170,1:55,,,,5,411,,,,,9,704,,,,,11,1336,,,,,,,,,,,5,427,,,,,9,753,,,,,11,1219,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,,かーる,https://remywiki.com/Kakon
鴉,Karasu (L.E.D.-G),L.E.D.-G,L.E.D.-G,L.E.D.-G,CROSSBREED,190,1:58,,,,7,763,,,,,10,1136,,,,,11,1356,,,,,,,,,,,7,741,,,,,10,1130,,,,,11,1346,,,,,,,,,,,beatmania IIDX 24 SINOBUZ,REFLEC BEAT 悠久のリフレシア,GOLI,https://remywiki.com/Karasu_(L.E.D.-G)
恋はどう？モロ◎波動OK☆方程式!!,Koi hadou? Moro hadou OK houteishiki!!,あべにゅうぷろじぇくと feat.佐倉紗織 produced by ave;new,Rikei Danshi,Dorechu,SCIENCE POP (理系ポップ),128,1:53,,,,5,518,,,,,8,805,,,,,10,1246,,,,,,,,,,,5,513,,,,,8,775,,,,,10,1028,,,,,,,,,,,pop'n music 20 fantasia,"beatmania IIDX 24 SINOBUZ, BeatStream アニムトライヴ, DanceDanceRevolution (2013), jubeat plus / jubeat plus (Android) pop'n music pack 1, jubeat saucer, jukebeat KONAMI music pack 52, SOUND VOLTEX II -infinite infection-, ミライダガッキ FutureTomTom Ver.2, ポップンリズミン ポップンガーリィパック1",Ray,https://remywiki.com/Koi_hadou%3F_Moro_hadou_OK_houteishiki!!
九尾狐夜行,Kyuubiko yagyou,天狐,Tenko,Tenko,ORIENTAL FUSION,145,1:54,,,,5,438,,,,,9,912,,,,,12,1521,,,,,,,,,,,5,456,,,,,9,948,,,,,12,1530,,,,,,,,,,,GITADORA OverDrive,beatmania IIDX 24 SINOBUZ,アキ,https://remywiki.com/Kyuubiko_yagyou
